Category,Model Name,Asset Name,Location,Due Date / Issued,Calib Due/ Done Date,Atch,Parent Asset,Options
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(199) 40 Mesh OTR-Mesh Roll Fixing Ring-6,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(200) 40 Mesh OTR-Mesh Roll Fixing Ring-7,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,40 Mesh OTR-Mesh Roll Fixing Ring,(201) 40 Mesh OTR-Mesh Roll Fixing Ring-8,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(202) 16 Mesh Inner-Mesh Roll Fixing Ring-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(203) 16 Mesh Inner-Mesh Roll Fixing Ring-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(204) 16 Mesh Inner-Mesh Roll Fixing Ring-3,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(205) 16 Mesh Inner-Mesh Roll Fixing Ring-4,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(206) 16 Mesh Inner-Mesh Roll Fixing Ring-5,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,16 Mesh Inner-Mesh Roll Fixing Ring,(207) 16 Mesh Inner-Mesh Roll Fixing Ring-6,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Rolled Guard welded outer dia Go Gauge,(208) Rolled Guard welded outer dia Go Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Rolled Guard welded outer dia NoGo Gauge,(209) Rolled Guard welded outer dia NoGo Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Non Extrusion Plate OD & ID Fixture,(210) Non Extrusion Plate OD & ID Fixture-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Non Extrusion Plate OD & ID Fixture,(211) Non Extrusion Plate OD & ID Fixture-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,MGEHL2525-1.5,(212) MGEHL2525-1.5,CO-Rajeev,2024-10-29 10:41:47~2024-10-29 10:41:47,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo External Digital Micrometer 75-100mm,(214) 293-240,Magdyn,null,21-11-2025~22-11-2024,,null,
Measuring Instruments,INSIZE Internal Micrometer 5 to 30mm,(215) 160183893,CO-vignesh,2024-10-29 10:44:49~2024-10-29 10:44:49,01-01-2000~01-01-2000,,null,
Measuring Instruments,Protractor,(216) Protractor,CO-vignesh,2024-10-29 10:45:11~2024-10-29 10:45:11,01-01-2000~01-01-2000,,null,
Gauges,Feeler Gauge-0.03mm-1.00mm,(217) Feeler Gauge-0.03mm-1.00mm-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Feeler Gauge-0.03mm-1.00mm-26 Blades,(218) Feeler Gauge-0.03mm-1.00mm-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Protractor Scale,(219) Protractor Scale-Center Finder-Square,CO-vignesh,2024-10-29 10:45:26~2024-10-29 10:45:26,01-01-2000~01-01-2000,,null,
Gauges,Weld Fillet Gauge 3.2 - 22.2mm,(220) Weld Fillet Gauge 3.2 - 22.2mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Radius Gauge R7.5-15mm,(221) Radius Gauge R7.5-15mm-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Radius Gauge R7.5-15mm,(222) Radius Gauge R7.5-15mm-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Radius Gauge R1.0-7.0mm,(223) Radius Gauge R1.0-7.0mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Angle Gauge 1-45Degree,(224) Angle Gauge 1-45Degree,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,T3 Valve Disc Forming Die & Punch,(225) T3 Valve Disc Forming Die & Punch,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,EDJNL 2525 M15,(226) EDJNL 2525 M15,CO-Rajeev,2024-10-29 10:37:36~2024-10-29 10:37:36,01-01-2000~01-01-2000,,null,
Lathe Tool,S16Q-SVJCL 08-20AX,(227) S16Q-SVJCL 08-20AX,CO-Rajeev,2024-10-29 10:37:49~2024-10-29 10:37:49,01-01-2000~01-01-2000,,null,
Lathe Tool,DDHNL 2525M-1504,(228) DDHNL 2525M-1504,CO-Rajeev,2024-10-29 10:38:08~2024-10-29 10:38:08,01-01-2000~01-01-2000,,null,
Lathe Tool,SVJBR-2525-M1103,(229) SVJBR-2525-M1103,CO-Rajeev,2024-10-29 10:40:30~2024-10-29 10:40:30,01-01-2000~01-01-2000,,null,
Dies_Tools,Float Cup Forming Die-Top,(230) Float Cup Forming Die-Top-1,Magdyn,null,01-01-2000~01-01-2000,,Float Cup Forming Die-Set1,
Dies_Tools,Float Cup Forming Die-Bottom,(231) Float Cup Forming Die-Bottom-1,Magdyn,null,01-01-2000~01-01-2000,,Float Cup Forming Die-Set1,
Dies_Tools,Float Cup Forming Die,(232) Float Cup Forming Die-Set1,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,JB cover Drill Fixture,(233) JB cover Drill Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Protractor Scale-1501GA,(234) Protractor Scale-1501GA,CO-vignesh,2024-10-29 10:37:01~2024-10-29 10:37:01,01-01-2000~01-01-2000,,null,
Lathe Tool,Collett Drill Sleeve-Nut ER20 155,(235) Collett Drill Sleeve-Nut ER20 155,CO-Rajeev,2024-10-29 10:35:53~2024-10-29 10:35:53,01-01-2000~01-01-2000,,null,
Lathe Tool,Collett Drill Sleeve-Nut ER20 295,(236) Collett Drill Sleeve-Nut ER20 295,CO-Rajeev,2024-10-29 10:36:07~2024-10-29 10:36:07,01-01-2000~01-01-2000,,null,
Lathe Tool,Collett Drill Sleeve-Nut ER20 296,(237) Collett Drill Sleeve-Nut ER20 296,CO-Rajeev,2024-10-29 10:36:20~2024-10-29 10:36:20,01-01-2000~01-01-2000,,null,
Lathe Tool,Collett drill Sleeve-Nut ER20 138,(238) Collett drill Sleeve-Nut ER20 138,CO-Rajeev,2024-10-29 10:36:36~2024-10-29 10:36:36,01-01-2000~01-01-2000,,null,
Fixtures,Schwimmer trimmer fixture,(239) Schwimmer trimmer fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Schwimmer Shaft Big Half Cup Welding Fixture,(240) Schwinner Shaft Big Half Cup Welding Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve DIA 40X16-1,(241) CNC Sleeve DIA 40X16-1,CO-Rajeev,2024-10-29 10:34:28~2024-10-29 10:34:28,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve DIA 40X16-2,(242) CNC Sleeve DIA 40X16-2,CO-Rajeev,2024-10-29 10:34:44~2024-10-29 10:34:44,01-01-2000~01-01-2000,,null,
Lathe Tool,Tool Holder TTER 2525-2 T17,(243) Tool Holder TTER 2525-2 T17,CO-Rajeev,2024-10-16 10:18:14~2024-10-16 10:18:14,01-01-2000~01-01-2000,,null,
Dies_Tools,3X4 Basket OTR,(244) 3X4 OTR Basket Top Ring & Bottom Cup-Die,CO-SRI SABARI INDUSTRIES,2026-04-25 10:53:28~2026-04-13 10:53:28,01-01-2000~01-01-2000,,3X4 OTR Basket Top Ring & Bottom Cup Die&Punch,
Dies_Tools,3X4 Basket OTR,(245) 3X4 OTR Basket Top Ring & Bottom Cup-Punch,CO-SRI SABARI INDUSTRIES,2026-04-25 10:53:28~2026-04-13 10:53:28,01-01-2000~01-01-2000,,3X4 OTR Basket Top Ring & Bottom Cup Die&Punch,
Dies_Tools,3X4 Basket OTR,(246) 3X4 OTR Basket Top Ring & Bottom Cup Die&Punch,CO-SRI SABARI INDUSTRIES,2026-04-25 10:53:28~2026-04-13 10:53:28,01-01-2000~01-01-2000,,null,
Machines,Sealing Machine,(247) Sealing Machine,CO-admin,2024-10-09 15:28:14~2024-10-16 15:28:14,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve Dia 40-MT-2,(248) CNC Sleeve Dia 40-MT-2,CO-Rajeev,2024-10-29 10:34:56~2024-10-29 10:34:56,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve Dia 40x12mmx90L,(249) CNC Sleeve Dia 40x12mmx90L,CO-Rajeev,2024-10-29 10:35:10~2024-10-29 10:35:10,01-01-2000~01-01-2000,,null,
Lathe Tool,CNC Sleeve Dia 40x8mmx85L,(250) CNC Sleeve Dia 40x8mmx85L,CO-Rajeev,2024-10-29 10:30:24~2024-10-29 10:30:24,01-01-2000~01-01-2000,,null,
Lathe Tool,Tool Holder TTERL 2525-3-T18,(251) Tool Holder TTERL 2525-3-T18,CO-Rajeev,2024-10-29 10:30:58~2024-10-29 10:30:58,01-01-2000~01-01-2000,,null,
Lathe Tool,SVJBL-2525-M11,(252) SVJBL-2525-M11,CO-Rajeev,2024-10-29 10:31:12~2024-10-29 10:31:12,01-01-2000~01-01-2000,,null,
Machines,WEDM,(253) WEDM,Magdyn,null,01-01-2000~01-01-2000,,null,
Machine Parts,MMXL-III ,(254) Automatic Lubricator Pump,CO-Rajeev,2024-10-29 10:31:27~2024-10-29 10:31:27,01-01-2000~01-01-2000,,null,
Fixtures,VTC 3670 UB Toggle Clamp,(255) VTC 3670 UB Toggle Clamp-1,CO-Rajeev,2024-10-19 15:19:56~2024-10-19 15:19:56,01-01-2000~01-01-2000,,null,
Fixtures,VTC 3670 UB Toggle Clamp,(256) VTC 3670 UB Toggle Clamp-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,VTC 3670 UB Toggle Clamp,(257) VTC 3670 UB Toggle Clamp-3,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,CNC Machine,(258) CNC Machine,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Manual Micro Drilling MC-AMT,(259) Manual Micro Drilling MC-AMT,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Drilling and Tapping Machine,(260) Drilling and Tapping Machine,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,16X10 SIR M11 T20 Hardcut ,(261) 16X10 SIR M11 T20 Hardcut-1,CO-Rajeev,2024-10-23 15:09:25~2024-10-23 15:09:25,01-01-2000~01-01-2000,,null,
Machines,M1TR,(262) Milling Reduction Socket ISO 30 MT2,CO-Rajeev,2024-10-23 14:47:15~2024-10-23 14:47:15,01-01-2000~01-01-2000,,null,
Gauges,3/8" x 18 NPT Taper Thread Plug Gauge,(263) PKM 18230,CO-vignesh,2024-10-23 15:01:23~2024-10-23 15:01:23,17-10-2025~18-10-2024,,null,
Gauges,1/2-14 NPT Taper Thread Ring Gauge,(264) BFK 499,CO-vignesh,2024-10-23 15:02:19~2024-10-23 15:02:19,17-10-2025~18-10-2024,,null,
Machines,M1TR,(265) Taco Tapping 3mm-10mm MT2 Shank,CO-Rajeev,2024-10-23 17:58:28~2024-10-23 17:58:28,01-01-2000~01-01-2000,,null,
Machines,ARC Welding Machine,(266) ARC Welding Machine,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Green & Black Planet Lathe Machine (GEDEE MLZ 250G,(267) GEDEE MLZ 250G,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Mitutoyo Height Gauge HS30,(268) HS30 514-103,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo External Digital Micrometer 75-100mm,(269) 293-243-30,CO-rsk,2024-10-26 17:44:54~2024-10-26 17:44:54,01-01-2000~01-01-2000,,null,
Tools,Hammer,(270) Hammer-110Gr,CO-A.A. Stationaries (Ali Tools),2026-06-03 13:29:46~2026-06-03 16:59:46,01-01-2000~01-01-2000,,null,
Office Assets,SJ-024-Mobile Storage Box,(271) 24 Slot Mobile Storage Box,CO-admin,2024-11-13 15:08:06~2024-11-13 15:08:06,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Dial Test Indicator-0.01mm,(272) 513404-PYY178,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Dial Test Indicator-0.01mm,(273) 513517-NBL663,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Plunger Dial Indicator 12.7-0.001mm,(274) 22025296,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Mitutoyo ID Bore Gauge-0.001,(275) 2109S-10,Magdyn,null,05-01-2026~06-01-2025,,null,
Lathe Tool,1/4-20 UNC-2B HSS Tap,(276) 1/4-20 UNC-2B HSS Tap-1,CO-Rajeev,2026-12-31 14:59:51~2026-01-07 14:59:51,01-01-2000~01-01-2000,,null,
Lathe Tool,1/4-20 UNC-2B HSS Tap,(277) 1/4-20 UNC-2B HSS Tap-2,CO-Rajeev,2024-11-20 17:42:52~2024-11-20 17:42:52,01-01-2000~01-01-2000,,null,
Machine Parts,Power Feeder M011 WEDM machine,(278) Power Feeder M011-1 ,Magdyn,null,01-01-2000~01-01-2000,,null,
Machine Parts,Power Feeder M011 WEDM machine,(279) Power Feeder M011-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Digimatic Screw Pitch Micrometer,(280) Screw Pitch Micro Meter 75-100mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Anvil for Micrometer-126-803,(281) Mitutoyo Anvil for Micrometer-126-803,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Lever Dial Indicator 0.001mm,(282) Mitutoyo Lever Dial Indicator 0.001mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Lever Dial Indicator 0.002mm,(283) Mitutoyo Lever Dial Indicator 0.002mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,INSIZE Digital Vernier Caliper 300mm,(284) 2003249656,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 8.100-8.113mm,(285) 18-19/802,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 8.500-8.580,(286) 18-19/707,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 8.500-8.580,(287) 18-19/708,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Baker Thread Plug Gauge-G 1/8-28 DIN ISO-228,(288) G 1/8-28 DIN ISO-228,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Leaf Drill Bit 20mm,(289) Leaf Drill Bit 20mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Taper,(290) TAP HSS L/S M/C 10-32UNF HSCO-Taper-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Taper,(291) TAP HSS L/S M/C 10-32UNF HSCO-Taper-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Taper,(292) TAP HSS L/S M/C 10-32UNF HSCO-Taper-3,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Taper,(293) TAP HSS L/S M/C 10-32UNF HSCO-Taper-4,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Bottoming,(294) TAP HSS L/S M/C 10-32UNF HSCO-Bottoming-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Bottoming,(295) TAP HSS L/S M/C 10-32UNF HSCO-Bottoming-2,CO-admin,2026-06-03 13:30:06~2026-06-03 17:00:06,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Bottoming,(296) TAP HSS L/S M/C 10-32UNF HSCO-Bottoming-3,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS L/S M/C 10-32UNF HSCO-Bottoming,(297) TAP HSS L/S M/C 10-32UNF HSCO-Bottoming-4,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,EG06-1002-US & Metric Thread Measuring Wire,(298) US & Metric Thread Measuring Wire 0.018-0.185,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Outside Caliper Gauge-0.01mm-0.20mm,(299) Outside Caliper Gauge-0.01mm-0.20mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,End Mill cutter 10mm Grinding 8.3mm dia,(300) End Mill cutter 10mm Grinding 8.3mm dia,CO-Rajeev,2026-12-31 15:04:34~2026-01-07 15:04:34,-~-,,null,
Gauges,INSIZE Bore Gauge 8 to 150mm,(301) INSIZE Bore Gauge 8 to 150mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Mitutoyo Snap Gauge 0-25mm,(302) Snap Gauge 0-25mm-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Mitutoyo Snap Gauge 0-25mm,(303) Snap Gauge 0-25mm-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Carbide setting Ring dia 7.943,(304) Carbide setting Ring dia 7.943-1,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(305) Carbide setting Ring dia 7.943-2,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(306) Carbide setting Ring dia 7.943-3,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(307) Carbide setting Ring dia 7.943-4,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(308) Carbide setting Ring dia 7.943-5,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(309) Carbide setting Ring dia 7.943-6,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(310) Carbide setting Ring dia 7.943-7,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(311) Carbide setting Ring dia 7.943-8,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(312) Carbide setting Ring dia 7.943-9,Magdyn,null,05-01-2026~06-01-2025,,null,
Gauges,Carbide setting Ring dia 7.943,(313) Carbide setting Ring dia 7.943-10,Magdyn,null,05-01-2026~06-01-2025,,null,
Measuring Instruments,Measuring Tape,(314) Measuring Tape-Steel 13mm-5Mtrs,CO-umapathi,2026-12-31 15:06:23~2026-01-07 15:06:23,05-01-2026~06-01-2025,,null,
Measuring Instruments,Multimeter,(315) Multimeter-RISHABH-172231,Magdyn,null,07-01-2026~08-01-2025,,null,
Gauges,1 inch NPT Thread Plug Gauge,(316) 1-11.5 NPT Taper Thread Plug Gauge,Magdyn,null,04-01-2026~04-01-2025,,null,
Gauges,Solicarb Plain Plug Gauge 12.694-12.701,(317) Solicarb Plain Plug Gauge 12.694-12.701,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,Micrometer Holder,(318) Micrometer Holder,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Plain Plug Gauge 1.655-1.675mm,(319) 1-255,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,3/8 x 18 NPT Taper Thread Ring Gauge,(320) 3/8 x 18 NPT Taper Thread Ring Gauge,Magdyn,null,07-01-2026~08-01-2025,,null,
Gauges,1/4-18 NPT Taper Thread Plug Gauge,(321) 1/4-18 NPT Taper Thread Plug Gauge,Magdyn,null,07-01-2026~08-01-2025,,null,
Gauges,Solicarb Plain Plug Gauge 4.80-0.13,(322) Solicarb Plain Plug Gauge 4.80-0.13-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 4.8-0.03,(323) Solicarb Plain Plug Gauge 4.8-0.03-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 4.80-0.13,(324) Solicarb Plain Plug Gauge 4.80-0.13-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 4.8-0.03,(325) Solicarb Plain Plug Gauge 4.8-0.03-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 4.775-0.023,(326) Solicarb Plain Plug Gauge 4.775-0.023-1,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Solicarb Plain Plug Gauge 4.775-0.023,(327) Solicarb Plain Plug Gauge 4.775-0.023-2,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,OTR Ring Pivot Pin Hole Go Gauge,(328) Set1-OTR Ring Pivot Pin Hole Go Gauge,Magdyn,null,01-01-2000~01-01-2000,,Set1-OTR Ring Pivot Pin Hole Go-NoGo Gauge,
Gauges,OTR Ring Pivot Pin Hole NoGo Gauge,(329) Set1-OTR Ring Pivot Pin Hole NoGo Gauge,Magdyn,null,01-01-2000~01-01-2000,,Set1-OTR Ring Pivot Pin Hole Go-NoGo Gauge,
Gauges,OTR Ring Pivot Pin Hole Go-NoGo Gauge,(330) Set1-OTR Ring Pivot Pin Hole Go-NoGo Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,1/4-18 NPT Bush Threading Bar,(331) SIR-16-08 P09,CO-Rajeev,2025-01-13 13:58:59~2025-01-13 13:58:59,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo External Digital Micrometer-25-50mm,(332) Mitutoyo External Digital Micrometer-25-50mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Hand Engraver Tool,(333) Hand Engraver Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Mitutoyo Snap Gauge 201-101mm,(334) Mitutoyo Snap Gauge 201-101mm,Magdyn,null,-~-,,null,
Measuring Instruments,Mitutoyo Digimatic Indicator 0.001mm,(335) Mitutoyo Digimatic Indicator 0.001mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo 25mm Micrometer Setting Bar,(336) 2064922,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(337) Dia 8 Go-25.286 NoGo-25.262,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(338) Dia 8 Go-25.285 NoGo-25.262,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(339) Dia 1 Go-25.299 NoGo-25.274,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(340) Dia 1 Go-25.298 NoGo-25.273,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(341) Dia 4 Go-26.243 NoGo-26.233,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(342) Dia 2 Go-25.508,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(343) Dia 2 NoGo-25.500,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(344) Dia 8 25.262-25.284,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(345) Dia 8 25.286 - 25.260,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(346) Dia 1 25.275 - 25.297,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(347) Dia 1 25.299 - 25.273,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Prime Shaft Snap Gauge Setting Master,(348) Dia 4 26.238 - 26.242,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Float Stopper Bar-Die,(349) Float Stopper Bar-Die,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Float Stopper Bar-Punch,(350) Float Stopper Bar-Punch,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS 3/8 UNC-1st,(351) TAP HSS 3/8 UNC-1st,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS 3/8 UNC-2nd,(352) TAP HSS 3/8 UNC-2nd,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS 3/8 UNC-3rd,(353) TAP HSS 3/8 UNC-3rd,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,TAP HSS 3/4 NPSM,(354) TAP HSS 3/4 NPSM,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Non Extrusion Plate-1st Bending Tool,(355) Non Extrusion Plate-1st Bending Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Non Extrusion Plate-45 degree Tool,(356) Non Extrusion Plate-45 degree Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Non Extrusion Plate-Flattening Tool,(357) Non Extrusion Plate-Flattening Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Non Extrusion Plate-Grinding Fixture,(358) Non Extrusion Plate-Grinding Fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,Non Extrusion Plate-L Bending Tool,(359) Non Extrusion Plate-L Bending Tool,Magdyn,null,01-01-2000~01-01-2000,,null,
Fixtures,3X4 Basket Inner,(360) 4 Mesh Top and Bottom Welding fixture,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Non Extrusion Plate-Radius Gauge,(361) Non Extrusion Plate-Radius Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Non Extrusion Plate-Step Gauge,(362) Non Extrusion Plate-Step Gauge,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Hydrolift Floor Crane-2Ton Capacity,(363) 24012519,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Hydrolift Lifting Table-500Kg Capacity,(364) 28022502,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Thread Plug Gauge 3/4 NPSM,(365) 3/4inch NPSM Go-EK264 NoGo-EK265,Magdyn,null,28-05-2026~29-04-2025,,null,
Gauges,Thread Plug Gauge 3/8-16 UNC-2B,(366) Thread Plug Gauge 3/8-16 UNC-2B,Magdyn,null,28-05-2026~29-05-2025,,null,
Measuring Instruments,Adis Shore D-Durometer,(367) Adis Shore D-Durometer-015139,Magdyn,null,10-09-2026~11-09-2025,,null,
Measuring Instruments,AQMEZZURE Analog Vernier Caliper 0-1000mm,(368) Analog Vernier Caliper 0-1000mm,Magdyn,null,28-04-2026~29-04-2025,,null,
Measuring Instruments,Degree Protractor Scale,(369) Degree Protractor Scale-0-180,Magdyn,null,01-01-2000~01-01-2000,,null,
Dies_Tools,Cam Disc PDC Die Insert V2021 ESTEAR,(370) Cam Disc PDC Die Insert V2021 ESTEAR,Magdyn,null,01-01-2000~01-01-2000,,null,
Machines,Weighing Machine 500mm,(371) Weighing Machine 500mm,Magdyn,null,01-01-2000~01-01-2000,,null,
Tools,BalckDecker 650W KW 712 Planner,(372) Balck Decker 650W KW 712 Planner,Magdyn,null,01-01-2000~01-01-2000,,null,
