Category,Model Name,Asset Name,Location,Due Date / Issued,Calib Due/ Done Date,Atch,Parent Asset,Options
Gauges,Unik Thread Plug Gauge 3.625-16 UN-2B ,(56) GR464 & GR 465.,Magdyn,null,29-08-2025~30-08-2024,,null,
Gauges,M5 x 0.8-6H GO & NGO Ring  ,(57) 1931594,Magdyn,null,05-06-2024~06-06-2022,,null,
Gauges,M5 x 0.8-6H GO & NGO Pin ,(58) 1625229,Magdyn,null,05-06-2024~06-06-2022,,null,
Measuring Instruments,Measuring Tape,(59) 3890223-D01,Magdyn,null,27-02-2025~28-02-2023,,null,
Measuring Instruments,RUGOSURF 90G,(60) 6V020,Magdyn,null,01-04-2019~02-04-2016,,null,
Gauges,MARPOSS MI STAR,(61) 11TJ3542,Magdyn,null,15-10-2021~16-10-2019,,null,
Dies_Tools,Granite Surface Plate 300x300mm,(62) GSP-01,Magdyn,null,20-05-2019~21-05-2016,,null,
Dies_Tools,Granite Surface Plate 600x400mm,(63) GSP-02,Magdyn,null,20-05-2019~21-05-2016,,null,
Gauges,Snap Gauge 9.495-9.487mm,(64) Snap Gauge 9.495-9.487mm,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Snap Gauge 41.300-41.250mm,(65) MAGDYN-009,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Snap Gauge 59.660-59.630mm,(66) Snap Gauge 59.660-59.630mm,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Manometer Glycerin Filled Vaccum Gauge 0-760mm/Hg,(67) Manometer Vaccum Gauge 0-760mm/Hg,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Snap Gauge 111.05-111.09mm,(68) Snap Gauge 111.05-111.09mm,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plug Gauge 92.010-92.040mm,(69) Plug Gauge 92.010-92.040mm,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 3.200-3.210mm,(70) Plain Plug Gauge 3.200-3.210mm,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 1.620-1.660mm,(71) 1-253,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 9.550-9.562mm,(72) 1-270,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 4.815-4.835mm,(73) 1-265,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 9.500-9.550mm,(74) 1-268,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 4.790-4.815mm,(75) 1-262,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 3.950-4.050mm,(76) 1-261,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 2.035-2.080 mm,(77) 1-256,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Plain Plug Gauge 1.655-1.675mm,(78) 1-254,Magdyn,null,15-10-2021~16-10-2019,,null,
